fighter_id,url,full_name,first_name,last_names,nickname,height_ft,height_in,height_cm,weight_lbs,reach_in,reach_cm,stance,dob,wins,losses,draws,no_contests,opponents
3a82a9b4-4bf6-5fb5-ad49-54d618892063,http://ufcstats.com/fighter-details/2af2f2e26c4c0402,Hunter Azure,Hunter,Azure,,5,8,172.72,145,69,175.26,Orthodox,1992-03-02,9,2,0,0,"Jack Shore, Cole Smith, Brian Kelleher, Brad Katona, Christian Ocon"
4226b8a2-6683-564e-8796-9ba0f71879d4,http://ufcstats.com/fighter-details/87f0b37f153cf497,Michael Byrnes,Michael,Byrnes,,5,11,180.34,155,0,0,,1990-07-17,5,3,0,0,Dave Zitanick
43ab07ba-2bce-5f03-a0c6-16ea92850e62,http://ufcstats.com/fighter-details/44a94bbde42246e4,Gleidson Cutis,Gleidson,Cutis,Poney,5,9,175.26,155,0,0,Orthodox,1989-02-07,7,4,0,0,Thiago Moises
6337ccd2-4592-5b50-80b4-049e185bb5ab,http://ufcstats.com/fighter-details/cfbb3edab781dfd2,Shanelle Dyer,Shanelle,Dyer,Nightmare,0,0,0.0,125,0,0,,2001-04-23,6,0,0,0,
d7ce91e4-57ab-5c42-8ab5-2ab0db2350a9,http://ufcstats.com/fighter-details/f72465a784c1b084,Jessica Eye,Jessica,Eye,Evil,5,6,167.64000000000001,125,66,167.64000000000001,Orthodox,1986-07-27,15,11,0,1,"Maycee Barber, Jennifer Maia, Joanne Wood, Cynthia Calvillo, Viviane Araujo, Valentina Shevchenko, Katlyn Cerminara, Jessica-Rose Clark, Kalindra Faria, Bethe Correia, Sara McMann, Julianna Pena, Miesha Tate, Leslie Smith, Alexis Davis, Sarah Kaufman"
77095dd8-87f4-522a-aa85-8aeb4becb3bf,http://ufcstats.com/fighter-details/c3e2eca94b2320bc,Katsuaki Furuki,Katsuaki,Furuki,,6,0,182.88,168,0,0,,1980-11-10,1,1,0,0,"Andy Ologun, Dynamite!! 2010"
98f083bf-9b4e-5512-b14e-44cd0f5f1ea7,http://ufcstats.com/fighter-details/eaea0fc7b76525a8,Mike Guymon,Mike,Guymon,The Joker,6,0,182.88,170,74,187.96,Orthodox,1974-09-17,15,6,1,0,"DaMarques Johnson, Daniel Roberts, Yoshiyuki Yoshida, Rory MacDonald"
8e6b3fb5-c676-50f1-9155-aa07f7a1145e,http://ufcstats.com/fighter-details/1c01d986283e6acb,In Soo Hwang,In,Soo Hwang,Legendary,0,0,0.0,185,0,0,,1994-01-18,8,1,0,0,
b59f0730-f7d4-564f-b0a0-6b68681836da,http://ufcstats.com/fighter-details/53e4e21f4c688801,Hiroshi Izumi,Hiroshi,Izumi,,0,0,0.0,205,0,0,Orthodox,1982-06-22,4,2,0,0,"Gegard Mousasi, Ikuhisa Minowa, Dynamite!! 2010, Katsuyori Shibata, Dynamite!! 2009"
eef835b5-d021-5449-866e-4c8ee1ce90a2,http://ufcstats.com/fighter-details/634bb0de2eb043b4,Cristiane Justino,Cristiane,Justino,Cyborg,5,8,172.72,145,68,172.72,Orthodox,1985-07-09,21,2,0,1,"Felicia Spencer, Amanda Nunes, Yana Santos, Holly Holm, Tonya Evinger, Lina Lansberg, Leslie Smith, Hiroko Yamanaka, Jan Finney, Marloes Coenen, Gina Carano, Hitomi Akano, Yoko Takahashi, Shayna Baszler"
3955644d-1583-51fa-a712-4f28a3a37b75,http://ufcstats.com/fighter-details/edbc609a3b0d2aba,Lisa Kyriacou,Lisa,Kyriacou,The Savage,5,5,165.1,125,64,162.56,Orthodox,1993-11-17,7,2,0,0,Yan Qihui
1810923f-d8e2-58b5-9d83-096b039796d7,http://ufcstats.com/fighter-details/91acd6910b802a9e,Chris Lytle,Chris,Lytle,Lights Out,5,11,180.34,170,68,172.72,Orthodox,1974-08-18,31,18,5,0,"Dan Hardy, Brian Ebersole, Matt Serra, Matt Brown, Brian Foster, Kevin Burns, Marcus Davis, Paul Taylor, Josh Koscheck, Kyle Bradley, Thiago Alves, Jason Gilliam, Matt Hughes, Matt Serra, Trenell Young, Joe Riggs, Pat Healy, Karo Parisyan, Ronald Jhun, Tiki Ghosn, Robbie Lawler, Ben Earwood"
df525232-f24e-5c64-abfe-8b491ec7a80f,http://ufcstats.com/fighter-details/2719f300b0439039,Ho Bae Myeon,Ho,Bae Myeon,,5,11,180.34,168,0,0,Orthodox,,13,5,1,0,Marius Zaromskis
